Date Times,Energy
Wed Jan 02 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),3.5912
Wed Jan 02 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),3.4306
Wed Jan 02 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),2.9256
Wed Jan 02 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),1.5647
Wed Jan 02 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),1.2293
Wed Jan 02 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),1.1198
Wed Jan 02 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),0.39563
Wed Jan 02 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),0.36173
Wed Jan 02 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),0.059729
Wed Jan 02 2013 17:30:00 GMT+1030 (Australian Central Daylight Time),-0.36043
Wed Jan 02 2013 18:00:00 GMT+1030 (Australian Central Daylight Time),-0.63615
Wed Jan 02 2013 18:30:00 GMT+1030 (Australian Central Daylight Time),-0.42484
Wed Jan 02 2013 19:00:00 GMT+1030 (Australian Central Daylight Time),-0.75283
Wed Jan 02 2013 19:30:00 GMT+1030 (Australian Central Daylight Time),-0.726
Wed Jan 02 2013 20:00:00 GMT+1030 (Australian Central Daylight Time),-0.785
Wed Jan 02 2013 20:30:00 GMT+1030 (Australian Central Daylight Time),-1.065
Wed Jan 02 2013 21:00:00 GMT+1030 (Australian Central Daylight Time),-1.63
Wed Jan 02 2013 21:30:00 GMT+1030 (Australian Central Daylight Time),-0.779
Wed Jan 02 2013 22:00:00 GMT+1030 (Australian Central Daylight Time),-0.965
Wed Jan 02 2013 22:30:00 GMT+1030 (Australian Central Daylight Time),-0.926
Wed Jan 02 2013 23:00:00 GMT+1030 (Australian Central Daylight Time),-0.426
Wed Jan 02 2013 23:30:00 GMT+1030 (Australian Central Daylight Time),-0.363
Thu Jan 03 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.366
Thu Jan 03 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.414
Thu Jan 03 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.341
Thu Jan 03 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.364
Thu Jan 03 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.401
Thu Jan 03 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.379
Thu Jan 03 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.386
Thu Jan 03 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.509
Thu Jan 03 2013 04:00:00 GMT+1030 (Australian Central Daylight Time),-0.412
Thu Jan 03 2013 04:30:00 GMT+1030 (Australian Central Daylight Time),-0.33
Thu Jan 03 2013 05:00:00 GMT+1030 (Australian Central Daylight Time),-0.37827
Thu Jan 03 2013 05:30:00 GMT+1030 (Australian Central Daylight Time),-0.30894
Thu Jan 03 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),-0.24011
Thu Jan 03 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),0.078271
Thu Jan 03 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),0.60964
Thu Jan 03 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),1.062
Thu Jan 03 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),1.7701
Thu Jan 03 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),2.2198
Thu Jan 03 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),2.6524
Thu Jan 03 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),2.9173
Thu Jan 03 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),3.0295
Thu Jan 03 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),3.1789
Thu Jan 03 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),3.3472
Thu Jan 03 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),3.346
Thu Jan 03 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),3.345
Thu Jan 03 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),3.4112
Thu Jan 03 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),3.0069
Thu Jan 03 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),2.569
Thu Jan 03 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),2.9388
Thu Jan 03 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),1.6877
Thu Jan 03 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),1.0457
Thu Jan 03 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),-0.1378
Thu Jan 03 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),0.26564
Thu Jan 03 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),0.14185
Thu Jan 03 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),-0.080079
Thu Jan 03 2013 17:30:00 GMT+1030 (Australian Central Daylight Time),-1.0986
Thu Jan 03 2013 18:00:00 GMT+1030 (Australian Central Daylight Time),-1.0989
Thu Jan 03 2013 18:30:00 GMT+1030 (Australian Central Daylight Time),-1.2703
Thu Jan 03 2013 19:00:00 GMT+1030 (Australian Central Daylight Time),-0.889
Thu Jan 03 2013 19:30:00 GMT+1030 (Australian Central Daylight Time),-1.085
Thu Jan 03 2013 20:00:00 GMT+1030 (Australian Central Daylight Time),-0.691
Thu Jan 03 2013 20:30:00 GMT+1030 (Australian Central Daylight Time),-0.544
Thu Jan 03 2013 21:00:00 GMT+1030 (Australian Central Daylight Time),-0.626
Thu Jan 03 2013 21:30:00 GMT+1030 (Australian Central Daylight Time),-0.807
Thu Jan 03 2013 22:00:00 GMT+1030 (Australian Central Daylight Time),-0.611
Thu Jan 03 2013 22:30:00 GMT+1030 (Australian Central Daylight Time),-0.93
Thu Jan 03 2013 23:00:00 GMT+1030 (Australian Central Daylight Time),-0.834
Thu Jan 03 2013 23:30:00 GMT+1030 (Australian Central Daylight Time),-0.323
Fri Jan 04 2013 00:00:00 GMT+1030 (Australian Central Daylight Time),-0.399
Fri Jan 04 2013 00:30:00 GMT+1030 (Australian Central Daylight Time),-0.355
Fri Jan 04 2013 01:00:00 GMT+1030 (Australian Central Daylight Time),-0.34
Fri Jan 04 2013 01:30:00 GMT+1030 (Australian Central Daylight Time),-0.345
Fri Jan 04 2013 02:00:00 GMT+1030 (Australian Central Daylight Time),-0.404
Fri Jan 04 2013 02:30:00 GMT+1030 (Australian Central Daylight Time),-0.31
Fri Jan 04 2013 03:00:00 GMT+1030 (Australian Central Daylight Time),-0.362
Fri Jan 04 2013 03:30:00 GMT+1030 (Australian Central Daylight Time),-0.388
